PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56
PSTW-2544,ARI (Intelligent Robotic Assistant),https://www.barcelona.cat/ciutatcuidadora/en/noticia/pilot-project-with-600-social-robots-to-improve-care-at-home_1487798,"Barcelona has launched a pilot project deploying 600 social robots, known as ARI, to enhance home care for elderly individuals experiencing early cognitive decline or dependency. It offers personalised support and real-time companionship to users at home. The solution is gradually incorporating advanced mobility features autonomous navigation, facial and voice recognition and bilingual communication (both in Catalan and Spanish). ARI proactively interacts with users, offering daily well-being checks, reminders for medication and
appointments, and immediate detection of emergencies. Additionally, it serves as a point of contact for queries. Currently, the city is expanding ARI to 600 homes and care facilities, part of a pilot project aimed at enhancing home care and potentially integrating into municipal social assistance services.Funded by EUR 3.8 million from the EU’s Next Generation Funds, the initiative aims to improve emotional well-being, autonomy, and safety for seniors living independently or in care facilities",Local,Spain,ES511,City of Barcelona,Local Government,Social protection,Old age.,Pilot,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Integration and Interaction,Robotics and Automation,,,,,,,EU-funded project,,,,,,,11/06/2025,
PSTW-2545,PALOMA - Madrid’s AI-powered virtual assistant,https://www.mascomunidad.org.ar/paloma-la-asistente-virtual-con-la-que-madrid-combate-la-soledad-entre-personas-mayores/,"“Paloma” is Madrid’s AI-powered virtual assistant developed by the Social Serives area aimed at proactively tackling unwanted loneliness among elderly residents. This assistant systematically contacts citizens aged over 75 who live alone, initiating personalised phone conversations to assess their well-being through a brief questionnaire in a procedure that fully respects privacy and protects underlying data, while firmly keeping a ‘human in the loop’ in all phases: by detecting issues early, it can connect vulnerable residents with the appropriate municipal support services. Currently part of the city’s broader strategy against loneliness, it streamlines the identification of at-risk individuals, allowing social workers to focus their efforts directly on residents needing intervention, thus improving quality of life and reducing social isolation.",Local,Spain,ES30,City of Madrid,Local Government,Social protection,Old age.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Communication,Natural language processing,,,,chatbot,,,,,,,,,,11/06/2025,
PSTW-2546,"ADMAIES Project (Improving administrative decision-making through the use of AI, experimentation, and sandboxes)",https://blogs.uoc.edu/digitapia/proyecto-admaies/,"The ADMAIES project (Improving administrative decision-making through the use of AI, experimentation, and sandboxes) is a research initiative led by the Universitat Oberta de Catalunya (UOC) through its Digitapia group. It aims to explore how artificial intelligence, experimental approaches, and regulatory sandboxes can enhance administrative decision-making processes. The project focuses on integrating AI into public administration to improve efficiency, transparency, and legal compliance, while also addressing the ethical and legal challenges associated with digital transformation in the public sector.",Local,Spain,ES,Universitat Oberta de Catalunya (UOC),Academic-Research,General public services,General services.,In development,2023,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,x,,,,,https://blogs.uoc.edu/digitapia/proyecto-admaies/,Ethics and Philosophy,AI Ethics,,,,,Universities/Research organisations,,,,,,,,,11/06/2025,
PSTW-2547,Streamlining talent acquisition and verification with RPA (Robotic Process Automation),https://www.ayesa.com/en/projects/rpa-to-verify-certificates-and-documents-submitted-by-candidates-as-part-of-selection-processes-run-by-the-andalusian-health-service/,"In some public-sector selection processes, candidates are required to provide proof of their experience, training, and academic qualifications. A selection panel reviews these documents, assigns points, and uses this evaluation to rank candidates or allocate positions. The Regional Government of Andalusia, one of Spain’s most complex administrative bodies, adheres to this detailed selection procedure. To improve the verification of certificates and documents submitted by candidates, they have recently adopted an RPA (Robotic Process Automation) technology provided by Ayesa. Since the project’s launch in July 2022, approximately 14,000 merits have been verified.",Regional,Spain,ES6,Andalusian Regional Government,Regional Government,General public services,General services.,Implemented,2022,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://www.ayesa.com/en/,Integration and Interaction,Robotics and Automation and Robotic Process Automation (RPA),,,,,Private corporation,,,,Ayesa,,,,,11/06/2025,
PSTW-2548,Optimising businesses: Unlocking the potential of Quantum Computing,https://www.ayesa.com/en/projects/harnessing-the-power-of-quantum-computing-to-solve-optimisation-problems-in-business-settings/,"The Galician Supercomputer Centre (CESGA) set a challenge to address combinatorial optimisation challenges faced by strategic sectors in Galicia, including transport, logistics, energy, and finance. CESGA collaborated with Ayesa, leveraging the company’s deep expertise in quantum computing to explore innovative solutions. Combinatorial optimization problems involve selecting the best solution from a large set of possible options, while meeting certain constraints. These problems, such as optimising routes, schedules, or resource allocations, are challenging because the number of potential solutions grows rapidly as the problem size increases.",Regional,Spain,ES,Galician Supercomputer Centre (CESGA),Academic-Research,General public services,General services.,Pilot,2023,,Internal management,Internal support processes,No,Yes,Quantum Computing,,G2B,x,,x,x,x,x,,,,,,,,,,,,,https://www.ayesa.com/en/,,,,,,,Private corporation,,,,Ayesa,,,,,11/06/2025,
PSTW-2549,Q4Real: Quantum Computing for real industries,https://www.ayesa.com/en/projects/q4real-quantum-computing-for-real-industries/,"The Basque Government, through the HAZITEK program, actively sought ways to enable companies in the Basque industrial sector to accelerate the adoption of sustainable, impact-driven applications, thereby ensuring their leadership in the realm of digitalization. Q4Real was established with the goal of expediting the development of industry-transforming applications that had a sustainable impact by addressing common challenges in the industrial sector. The consortium aimed to standardise quantum programming to tackle prevalent issues within the sector. Additionally, the project created a knowledge base and components for various types of quantum computational problems, while also establishing quantum software engineering practices, all with the ultimate objective of bridging the gap with the market for commercial solutions.",Regional,Spain,ES,Ibermatica,Consortium,General public services,General services.,Pilot,2022,,Internal management,Internal support processes,No,Yes,Quantum Computing,,G2B,x,,,x,x,x,,,,,,,,,,,,,https://www.ayesa.com/en/,,,,,,,Private corporation,,,,Ayesa,,,,,11/06/2025,
PSTW-2550,5G pilot in Andalusia for the María Zambrano Train Station,https://www.ayesa.com/en/projects/maria-zambrano-train-station/,"Ayesa used Building Information Modelling (BIM)  to create a digital twin of the Marìa Zambrano Station in Malaga, complete with information about its geometry, spatial relationships, and components. This 3D model, hosted in the BIM360 cloud with a 5G connection, serves as the foundation for two applications based on augmented reality (AR). The first use case is the passenger guidance app, which allows travelers to use their mobile devices to navigate the station and select places of interest, like restaurants and shops. The app provides real-time information and directions, all in an immersive augmented reality experience. Meanwhile, the second use case – the maintenance app uses the BIM model to perform preventive and corrective maintenance tasks at the station, with AR visualisations that allow for easy monitoring and execution of tasks. With the speed of 5G, data flows instantly from both mobile phone apps to the station BIM model, reflecting live experiences such as crowds, security incidents, accidents, and real-time operations and repair updates on assets.",Local,Spain,ES,Ministry of Economic Affairs and Red.es,Central-Government,Economic affairs,Transport,Pilot,2019,,Public services and engagement,Service personalisation (various),No,No,5G (Edge Computing),Digital Twins,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.ayesa.com/en/,,,,,,,Private corporation,,,,"Ayesa, Vodafone, Huawei, Adif",,,,,11/06/2025,
PSTW-2551,Margot AI supporting the Agenzia Italiana del Farmaco - document search case,https://www.e-time.it/margot-ai/,"Margot is an AI-powered virtual assistant developed by e-time to streamline customer service and internal support. This use case supports the Agency leveraging Margot AI to retreive detail information from the internal database to assist costumers. Built on a Retrieval-Augmented Generation (RAG) architecture, Margot AI seamlessly integrates with existing systems and channels to automate repetitive tasks, classify incoming messages, and search corporate documents for precise answers.",National,Italy,IT,Agenzia Italiana del Farmaco,Central-Government,Health,Health n.e.c.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.e-time.it/e-time-al-forum-pa-2025/,Learning,Machine learning,Generative AI,Natural language processing,,,GovTech,,,,e-Time - GTS-1091,,,,,11/06/2025,
PSTW-2552,Margot AI supporting the Agenzia Italiana del Farmaco - FarmaciLine assistance,https://www.e-time.it/margot-ai/,"Margot is an AI-powered virtual assistant developed by e-time to streamline customer service and internal support. In this use case, the tool is used within the FarmaciLine service which allows citizens to request information on medicines. The service responds to questions on Authorised Medicinal Products, based on what is reported in the Summary of Product Characteristics and in AIFA Resolutions. Built on a Retrieval-Augmented Generation (RAG) architecture, Margot AI seamlessly integrates with existing systems and channels to automate repetitive tasks, classify incoming messages, and search corporate documents for precise answers.",National,Italy,IT,Agenzia Italiana del Farmaco,Central-Government,Health,Health n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.e-time.it/e-time-al-forum-pa-2025/,Learning,Machine learning,Generative AI,Natural language processing,,,GovTech,,,,e-Time - GTS-1091,,,,,11/06/2025,
PSTW-2553,Margot AI supporting the Agenzia Italiana del Farmaco - Monitoring platform,https://www.e-time.it/margot-ai/,"Margot is an AI-powered virtual assistant developed by e-time to streamline customer service and internal support. This use case supports the Agency in retrieving the correct information from the monitoring registries. The AIFA monitoring registry list includes various types of systems used to track the use of medicines in clinical practice, including standard monitoring registries, therapeutic plans, simplified multi-drug registries, among others. Built on a Retrieval-Augmented Generation (RAG) architecture, Margot AI seamlessly integrates with existing systems and channels to automate repetitive tasks, classify incoming messages, and search corporate documents for precise answers.",National,Italy,IT,Agenzia Italiana del Farmaco,Central-Government,Health,Health n.e.c.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.e-time.it/e-time-al-forum-pa-2025/,Learning,Machine learning,Generative AI,Natural language processing,,,GovTech,,,,e-Time - GTS-1091,,,,,11/06/2025,
PSTW-2554,AI-powered procurement platform,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,"By 2026, in partnership with the EU and World Bank, Albania will launch an AI-powered procurement platform. This platform will automate procurement processes using AI to draft terms of reference, estimate costs, and generate initial evaluation reports, thereby increasing transparency and reducing human errors. While AI will streamline and enhance efficiency, human oversight will remain central, with detailed audit trails for any changes made to generated outputs. This initiative will foster fair competition and ensure equal access for businesses within and beyond Albania.",National,Albania,AL,Government of Albania,Central-Government,General public services,General services.,In development,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,Learning,Machine learning,,,,,,,,,,,,,,11/06/2025,
PSTW-2555,AI for taxation project in Albania,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,"In the field of taxation, Albania is finalising, with the support of Microsoft, an AI model that will analyse real-time electronic invoices and custom declarations to detect anomalies and combat tax evasion and financial crime. This model will automate routine tasks, allowing staff to focus on more complex cases.",National,Albania,AL,Government of Albania,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,x,,,,,,,,,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,Learning,Machine learning,,,,,Private corporation,,,,Microsoft,,,,,11/06/2025,
PSTW-2556,AI for healthcare project in Albania,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,"In healthcare, we are aiming to develop an AI-powered radiology system with EU funding set to launch by 2027. The system will assist doctors in detecting diseases through early image analysis, personalising treatment, and predicting disease progression, improving patient outcomes and saving lives.",National,Albania,AL,Government of Albania,Central-Government,Health,Health n.e.c.,Planned,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,x,,,,,,,,,https://apolitical.co/solution-articles/en/how-albania-is-transforming-government-one-evirtual-assistant-at-a-time,Learning,Machine learning,,,,,,,,,,,,,,11/06/2025,
PSTW-2557,Nation-wide AI-powered smart city project,https://www.presight.ai/news/albania-selects-presight-for-nationwide-ai-powered-smart-city-project/,"Albania has launched a nationwide smart city initiative in collaboration with Presight, an AI and big data analytics company based in Abu Dhabi. Announced in February 2025, the project aims to transform 20 cities across the country through the integration of advanced AI technologies. At its core, the initiative focuses on creating a real-time, AI-driven urban and traffic management system that enhances city infrastructure, reduces congestion, and improves road safety. A centralised command and control center will coordinate public services and emergency responses more effectively.",National,Albania,AL,Government of Albania,Central-Government,General public services,General public services n.e.c.,Planned,2025,,Internal management,Internal management processes,No,Yes,Artificial Intelligence,,G2B,x,,x,x,x,x,,,,,,,,,,,,,https://www.presight.ai/news/albania-selects-presight-for-nationwide-ai-powered-smart-city-project/,Learning,Machine learning,,,,,,,,,,,,,,11/06/2025,
PSTW-2559,IMPULSE Project - NemID card retrieval from lockers (IMPULSE - Denmark),https://www.impulse-h2020.eu/consortium/arh/,"In this project, Aarhus Municipality contributed with a case study to help vulnerable citizens, so that they can have access to the same digital services that other citizens in the municipality have. In Denmark, a common log-in solution NemID is used for Danish banks and which is also used for contact and applications to all public authorities. A NemID consists of a username, password and either a physical cardboard (key card) with codes or a mobile app with codes. This key card is regularly something that the target group loses. The vulnerable citizens who participate in the project will have the opportunity to use the document cabinet for storage of e.g. their key card. The key card will be securely stored in a document cabinet with a personal drawer, which can only be unlocked with face recognition by the individual citizen via their mobile phone.",Local,Denmark,DK04,Aarhus Municipality,Local Government,General public services,General public services n.e.c.,Pilot,2020,,Public services and engagement,Authentication of self-sovereign Digital ID services,No,No,Blockchain,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.impulse-h2020.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2560,IMPULSE Project - Gijón public services app,https://www.impulse-h2020.eu/consortium/gijon/,"The Ayuntamiento de Gijón (City Council of Gijón) represented Spain in the IMPULSE Horizon 2020 consortium, contributing €153,500 to the €4 million European project. As one of the six national case studies, Gijón worked on integrating blockchain and artificial intelligence into electronic identity (eID) systems within the public sector. Leveraging its municipal infrastructure and services, the city explored how cutting-edge technologies could enhance secure, user-centric digital identification, aligning with IMPULSE’s goal of delivering GDPR-compliant, interoperable eID solutions and paving the way for streamlined access to public services at both local and cross-border levels.",Local,Spain,ES120,City Council of Gijón,Local Government,General public services,General public services n.e.c.,Pilot,2020,,Public services and engagement,Authentication of self-sovereign Digital ID services,No,No,Blockchain,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.impulse-h2020.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2561,IMPULSE Project - Entreprise digital drawer,https://www.impulse-h2020.eu/consortium/uc/," As part of the IMPULSE Horizon 2020 consortium—focused on integrating blockchain and AI into public electronic identity (eID) systems—InfoCamere led a pilot project called “Person of Business.” It designed and implemented a blockchain-based eID infrastructure that enhanced traditional business identities with verifiable attributes from the Business Register, enabling streamlined and secure access to both domestic and cross-border public services.",National,Italy,IT,UnioneCamere,Central-Government,General public services,General public services n.e.c.,Pilot,2020,,Public services and engagement,Authentication of self-sovereign Digital ID services,Yes,Yes,Blockchain,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.impulse-h2020.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2562,IMPULSE Project - Civil registration & certification in Bulgaria,https://www.impulse-h2020.eu/consortium/mop/,"Municipality of Peshtera participated in IMPULSE project as a pilot partner. The municipal administration participated in testing and validation of the solution developed during the project, as well as the definition of requirements and specifications. It launched a new digital system for providing electronic services to its citizens in the middle of 2020, and used IMPULSE project to develop a more secure and GDPR-compliant digital system for public services. ",Local,Bulgaria,BG013,Municipality of Peshtera,Local Government,General public services,General public services n.e.c.,Pilot,2020,,Public services and engagement,Authentication of self-sovereign Digital ID services,No,Yes,Blockchain,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.impulse-h2020.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2564,IMPULSE Project - Online complaints filing services,https://www.impulse-h2020.eu/consortium/ertz/,"Ertzaintza (ERTZ), the autonomous police force of Spain’s Basque Country established in 1982, participated in the IMPULSE Horizon 2020 consortium as its law enforcement partner. Leveraging over a century of experience across public order, traffic regulation, counter-terrorism, criminal investigation, and forensic science, ERTZ contributed expertise in user-case design, operational testing, and stakeholder-driven validation. Its primary role was to lead a case study aimed at enhancing its online complaint-handling system: by integrating blockchain and AI-based identity management, Ertzaintza enabled citizens to securely file complaints without needing to visit a police station in person. This integration supported end-user needs analysis, pilot demonstrations, and personnel training, all in service of improving public security services.",Regional,Spain,ES,Ertzaintza (ERTZ),Non-governmental,Public order and safety,Public order and safety n.e.c.,Pilot,2020,,Internal management,Internal support processes,No,Yes,Blockchain,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.impulse-h2020.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2566,BRIGHT - Virtual Community Decentralized Aggregation in Slovenia,https://www.brightproject.eu/slovenia/,"The Slovenia pilot of the BRIGHT Horizon 2020 project developed a secure platform for peer-to-peer energy trading, using edge-secure gateways, advanced metering infrastructure, digital twin models, and blockchain technology. Technological- and business-wise the Slovenian pilot is aimed to provide a one stop shop solutions for active consumers which combines and integrate an edge secure gateway component with the metering infrastructure and with the P2P DLT/Blockchain platform. The pilot objectives are to obtain information on the behaviour of individual types of devices based on aggregate measurements, to engage the users to use energy as well non-energy services, which can be resolved in their finances, safe and security systems.",National,Slovenia,SL,University of Maribor,Academic-Research,Economic affairs,Fuel and energy,Pilot,2020,,Public services and engagement,Service integration (various),No,No,Blockchain,,G2C,x,x,,,x,x,,,,,,,,,,,,,https://www.brightproject.eu/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2568,iMaging Project - Ecosystem Monitoring at EMSO Sites by Video Imagery,https://www.imagine-ai.eu/case-study/ecosystem-monitoring-at-emso-sites-by-video-imagery,"As part of the EU‑funded iMagine project, a comprehensive video‑based ecosystem monitoring service has been developed for subsea research at three EMSO sites—Obsea, Azores, and SmartBay. Leveraging the iMagine AI platform, the initiative automatically filters and processes underwater video imagery to identify marine life (e.g., fish species), detect low-quality footage, and highlight notable events such as prawn burrows. By employing deep-learning models like YOLOv8 and standardised data pipelines, the service converts vast amounts of raw footage into structured datasets—providing researchers with near-real-time insights into biodiversity trends, environmental changes, and ecosystem health. Running from September 2022 through August 2025, the project also supports the adoption of best practices and AI pipelines by multiple EMSO observatories.",Across Countries,European Union,EU,EMSO ERIC,Academic-Research,Environmental protection,Protection of biodiversity and landscape.,Pilot,2022,2025,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.imagine-ai.eu/ai-imaging-in-aquatic-sciences.,Perception,Computer vision,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,12/06/2025,
PSTW-2569,iMaging Project - WITOIL Oil spill detection service,https://www.imagine-ai.eu/case-study/eyeonwater,"As part of the EU-funded iMagine project, the EyeOnWater initiative enhances citizen science efforts by employing advanced AI to ensure data quality in environmental monitoring. Users submit photographs of water bodies—like rivers, lakes, and seas—via a smartphone app. The AI then filters out unsuitable images (e.g., non-water scenes or obstructions) using image segmentation and object detection models such as YOLOv8. Trained on a labeled dataset of over 10,000 images sorted into quality classes, the system achieves accurate real-time validation of submissions. Approved photos are integrated into long-term water colour datasets, supporting scientific research and contributing to ecological insights.",Across Countries,European Union,EU,EMSO ERIC,Academic-Research,Environmental protection,Protection of biodiversity and landscape.,Pilot,2022,2025,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.imagine-ai.eu/ai-imaging-in-aquatic-sciences.,Perception,Computer vision,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,12/06/2025,
PSTW-2571,Consular Digital Triage - Automating consular enquiry responses,https://ai.gov.uk/knowledge-hub/use-cases/consular-digital-triage/,"The Consular Digital Triage tool, developed by the UK’s Foreign, Commonwealth & Development Office (FCDO), is an AI-powered assistant designed to help British nationals abroad with common consular written enquiries—such as lost passports or travel documentation—by matching user questions to pre-approved guidance templates rather than generating freeform AI responses. Reduced written enquiries by 80% and calls by up to 50% within three months of implementation. It is projected to save the FCDO millions over five years, while maintaining accuracy and safety standards.",National,United Kingdom,UK,"Foreign, Commonwealth & Development Office (FCDO)",Central-Government,General public services,General services.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Generative AI,,,,Fully internal,,,,,,,,,12/06/2025,
PSTW-2572,Barking and Dagenham AI Search and Webchat - Streamlining access to council services and information through AI-powered search and chat,https://ai.gov.uk/knowledge-hub/use-cases/barking-and-dagenham-ai-search-and-webchat/,"The Barking & Dagenham AI Search and Webchat project uses AI-driven chat and search tools to handle common resident queries, starting with waste collection and expanding to other services like housing and council tax. It automates responses based on postcode data, resolving most questions without staff input. The initiative has reduced call volumes, improved satisfaction, and maintained accessibility by keeping traditional service channels and involving community feedback. The AI Search interface is handling 18,000 sessions per month. The first-time hit rate on search (i.e., finding the right information with the initial query) is high, with low levels of negative feedback. The AI Chatbot interface is currently serving 4,450 conversations per month, with a 93% success rate based on user feedback (thumbs up / down) at the end of each conversation. The combined impact of the tool across both interfaces has been a reduction in general enquiries and calls into the Council.",Local,United Kingdom,UKI31,London Borough of Barking & Dagenham,Local Government,General public services,General services.,Implemented,2022,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Generative AI,,,chatbot,,,,,,,,,,12/06/2025,
PSTW-2573,Aila: AI Lesson Assistant for UK teachers,https://ai.gov.uk/knowledge-hub/use-cases/aila-ai-lesson-assistant/,"Aila, developed by Oak National Academy (an arm’s length body of the Department for Education), is an AI-powered lesson assistant designed to help teachers create personalised, curriculum-aligned lesson plans swiftly and efficiently. It combines a large language model  with retrieval-augmented generation to draw from Oak’s extensive, high-quality and quality-assured lesson repository, ensuring content accuracy and relevance. Teachers interact with Aila through a chat interface to generate lesson outlines, which can be refined iteratively. In its first two months, Aila supported 10,000 users in creating nearly 25,000 lesson plans, with 85% rating the quality as 'fairly high' or 'very high'. Nearly two-thirds of teachers said Aila reduced workload or freed up time for other priorities. Reported total time savings ranged from 1 to 15 hours, with an average of around 3 hours saved. Some teachers have also noted reduced stress and improved well-being.",National,United Kingdom,UK,Department for Education (DfE) / Oak National Academy,Central-Government,Education,Education n.e.c.,Implemented,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Generative AI,,,chatbot,Fully internal,,,,,,,,,12/06/2025,
PSTW-2575,GCS Assist - Accelerating content creation for government communicators,https://ai.gov.uk/knowledge-hub/use-cases/gcs-assist/,"Assist is a secure tool created in-house to support government communicators. It went live in April 2025, following the initial prototype launch in November 2023. The tool features pre-built, task-specific prompts to save users time. It enables communicators to brainstorm ideas, produce first draft communication products and review work in a fraction of the time it would otherwise take manually. Assist's focus on communication disciplines ensures that outputs align with Government Communications' best practice, guidance and frameworks.",National,United Kingdom,UK,Cabinet Office (CO) / Government Communication Service (GCS),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Generative AI,,,,,,,,,,,https://github.com/Government-Communication-Service/assist_service,,12/06/2025,
PSTW-2576,Assisting social care workers through transcription and note-taking with Magic Notes,https://ai.gov.uk/knowledge-hub/use-cases/magic-notes-wales/,"Magic Notes is an AI-powered tool developed by Beam to assist social workers in recording and summarising case notes during client meetings. The system transcribes conversations and generates structured summaries, significantly reducing the time spent on administrative tasks. Each practitioner involved in the pilot saved on average, 25 minutes per assessment write-up. This equated to savings of around 7.5 hours per week per practitioner on administrative tasks. Practitioners submitted their assessments up to 8 hours faster when using the technology, with all participants reporting substantial time savings. The product consistently achieved over 97% accuracy in transcripts and summaries, significantly outperforming other products and increasing user confidence. Practitioners reported that conversations were more natural and higher in quality when using the product, resulting in better overall assessments compared to traditional methods. Managers noted progress in reducing case backlogs and improving workload distribution, leading to a positive impact on social worker wellbeing. All participating practitioners endorsed the product and expressed interest in continued use.",Regional,United Kingdom,UKL,Neath Port Talbot Council,Regional Government,General public services,General services.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Generative AI,,,,GovTech,,,Yes,BEAM - GTS-1094,,,,,12/06/2025,
PSTW-2577,Logo Detection and Classification Toolkit (LDK) - Automating the detection of unauthorised logo use on websites,https://ai.gov.uk/knowledge-hub/use-cases/logo-detection-and-classification-toolkit-ldk/,"The Logo Detection and Classification Toolkit (LDK) is an AI-powered tool built by HM Revenue & Customs (HMRC)—in collaboration with the Cabinet Office, the Government Digital Service, and DSIT—to combat misuse of official logos. Launched in 2025, it scans the web (via Google and Bing), scrapes suspicious sites, and applies a open-source YOLOv2 deep-learning model to flag unauthorized uses of HMRC and government trademarks. The system streamlines a process that once took days into just a few hours, enabling analysts to take down 10–20 infringing URLs per month while maintaining more than 97% accuracy .",National,United Kingdom,UK,HM Revenue and Customs (HMRC),Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,x,,,,,https://ai.gov.uk/knowledge-hub/use-cases/?organisation=&governmentBody=&userGroup=&typeOfTechnology=&impact=,Learning,Machine learning,Deep learning,Computer vision,,,Fully internal,,,,,,https://yolov11.com/,,,12/06/2025,
